54.4 41.5 57 124.6 192.8
156 151.3 183 194 54.7
58.3 38.6 39 35.6 32.7
84 207.7 183.3 162.1 168.3
98 50.1 64.5 215.4 1.1
93.6 143.8 118.5 152.2 232.7
103.1 97.2 132.4 122.9 35
107.3 30.8 21.2 248.7 263.1
276 248.9 197.2 73 56.4
80.3 106.9 27.7 33.8 11.4
47.8 133.6 200.4 232.7 191.2
128.1 104.1 125.4 74.4 105.8
82.6 7.1 27.1 124.7 94.5
344.7 174.7 201.3 63.3 89.7
33.1 0 40.2 42.9 80.2
114.5 130.6 85.1 78 184.3
52.6 72.5 75.1 41.1 129.1
45.7 7.6 186.1 92.4 313.1
233.1 98.6 110.9 161.8 89.9
37.9 22.9 35.1 47.1 79.2
155.5 129.7 104 131.5 86.4
17.5 26.8 33 31.4 34.7
58.8 38.3 111.3 280.3 83.4
220.6 101.2 23.8 57 40.2
25.8 143.7 50.1 89.7 70.4
487.4 170.7 90 114.7 91.5
62.4 42.1 123 27.1 92.5
38.1 205.8 173.1 288 114.3
51.3 64.7 100.7 11.3 16.1
51.4 101.5 113.8 229.1 135.8
186 228.1 130.3 275 140.6
64.8 21.8 24.7 41 86.9
44.2 271.6 157.4 89.9 166.7
85.5 113.9 65.9 19.4 16.4
67.2 236.7 32.5 333.1 158.9
88 101.5 105.8 97.4 66.2
27.2 6.3 92.7 71.6 343.6
251.3 179.5 205.7 55.8 30.3
104.4 31 104.3 15.7 61.5
111.5 143.1 261.8 243 165.4
107.3 148.6 56.3 112.1 10.3
35.6 20.7 112 62.4 119.2
143.5 126.1 129.2 103 28.3
27.4 33.1 37.9 42.1 74.5
363.1 124 324.7 279 38.9
47.2 57.4 20.5 13.2 52.4
28.2 80.5 251.5 199.9 58.7
273.9 47.6 101.3 68.6 75.4
35.9 100.2 46.5 39 73.2
174.7 120.9 188.3 63.9 64.3
30.7 38.4 59.9 18 99.4
156.7 118.8 141.7 196.4 NA
110.4 36.6 62 10.9 61.7
102.8 20.4 21.6 226.7 199.6
116.4 148.2 58.5 33.7 37.9
174.8 17.7 58.2 58 178.8
204.6 118.7 102.5 143.7 145.1
41.5 50.4 16.2 51.1 34.1
54.6 81.8 201.4 296.1 239.8
146.3 149.8 85.6 21.8 7.8
5.9 5.5 19.9 65.6 193.3
131.1 268.6 255.4 52.7 40.8
52.7 45.2 26.1 33.6 31.6
64.9 68.9 22.5 108.2 134.3
68.6 106 35.2 61.4 56.9
71.8 45.6 93.7 169.1 215.1
100.8 291.6 66.3 124.8 32.1
46.7 26.9 9.8 168.7 109
126.8 121.7 84.1 206 140.6
104 75.3 54.4 22.3 18.7
15.7 39.3 132.3 159.1 198.9
99.4 38 83.4 64.9 41.7
26.8 38 39.5 105.5 111.2
264.8 248.1 107.1 NA NA
NA 33.3 NA NA NA
NA NA NA NA NA
NA NA NA NA NA
NA NA NA NA NA
NA NA NA NA NA
NA NA NA NA NA
NA NA NA NA NA
NA NA NA NA NA
NA NA NA NA NA
NA NA NA NA NA
NA NA NA NA NA
NA NA NA NA NA
NA NA NA NA NA
